h,V
-1.00, 0.000000
-0.90, 0.000000
-0.80, 0.000000
-0.70, 0.000000
-0.60, 0.000000
-0.50, 0.000000
-0.40, 0.000000
-0.30, 0.000000
-0.20, 0.000000
-0.10, 0.000000
-0.00, 0.000000
0.10, 5.026548
0.20, 10.053096
0.30, 15.079645
0.40, 20.106193
0.50, 25.132741
0.60, 30.159289
0.70, 35.185838
0.80, 40.212386
0.90, 45.238934
1.00, 50.265482
1.10, 55.292031
1.20, 60.318579
1.30, 65.345127
1.40, 70.371675
1.50, 75.398224
1.60, 80.424772
1.70, 85.451320
1.80, 90.477868
1.90, 95.504417
2.00, 100.530965
2.10, 105.557513
2.20, 110.584061
2.30, 115.610610
2.40, 120.637158
2.50, 125.663706
2.60, 130.690254
2.70, 135.716803
2.80, 140.743351
2.90, 145.769899
3.00, 150.796447
3.10, 155.822996
3.20, 160.849544
3.30, 165.876092
3.40, 170.902640
3.50, 175.929189
3.60, 180.955737
3.70, 185.982285
3.80, 191.008833
3.90, 196.035382
4.00, 201.061930
4.10, 206.088478
4.20, 211.115026
4.30, 216.141575
4.40, 221.168123
4.50, 226.194671
4.60, 231.221219
4.70, 236.247768
4.80, 241.274316
4.90, 246.300864
5.00, 251.327412
5.10, 256.353961
5.20, 261.380509
5.30, 266.407057
5.40, 271.433605
5.50, 276.460154
5.60, 281.486702
5.70, 286.513250
5.80, 291.539798
5.90, 296.566346
6.00, 301.592895
6.10, 306.619443
6.20, 311.645991
6.30, 316.672539
6.40, 321.699088
6.50, 326.725636
6.60, 331.752184
6.70, 336.778732
6.80, 341.805281
6.90, 346.831829
7.00, 351.858377
7.10, 356.884925
7.20, 361.911474
7.30, 366.938022
7.40, 371.964570
7.50, 376.991118
7.60, 382.017667
7.70, 387.044215
7.80, 392.070763
7.90, 397.097311
8.00, 402.123860
8.10, 407.150408
8.20, 412.176956
8.30, 417.203504
8.40, 422.230053
8.50, 427.256601
8.60, 432.283149
8.70, 437.309697
8.80, 442.336246
8.90, 447.362794
9.00, 452.389342
9.10, 457.415890
9.20, 462.442439
9.30, 467.468987
9.40, 472.495535
9.50, 477.522083
9.60, 482.548632
9.70, 487.575180
9.80, 492.601728
9.90, 497.628276
10.00, 502.654825
10.10, 507.744466
10.20, 512.961343
10.30, 518.307025
10.40, 523.783082
10.50, 529.391087
10.60, 535.132609
10.70, 541.009220
10.80, 547.022490
10.90, 553.173991
11.00, 559.465292
11.10, 565.897964
11.20, 572.473580
11.30, 579.193708
11.40, 586.059921
11.50, 593.073788
11.60, 600.236881
11.70, 607.550771
11.80, 615.017027
11.90, 622.637222
12.00, 630.412926
12.10, 638.345709
12.20, 646.437143
12.30, 654.688798
12.40, 663.102245
12.50, 671.679054
12.60, 680.420798
12.70, 689.329045
12.80, 698.405368
12.90, 707.651337
13.00, 717.068523
13.10, 726.658497
13.20, 736.422828
13.30, 746.363089
13.40, 756.480850
13.50, 766.777682
13.60, 777.255155
13.70, 787.914841
13.80, 798.758310
13.90, 809.787133
14.00, 821.002880
14.10, 832.407123
14.20, 844.001433
14.30, 855.787379
14.40, 867.766534
14.50, 879.940467
14.60, 892.310750
14.70, 904.878953
14.80, 917.646648
14.90, 930.615404
15.00, 943.786793
15.10, 0.000000
15.20, 0.000000
15.30, 0.000000
15.40, 0.000000
15.50, 0.000000
15.60, 0.000000
15.70, 0.000000
15.80, 0.000000
15.90, 0.000000
16.00, 0.000000
